Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
10000,prompt_6,p9_count_frequency,0.0277969,0.189735259,5.8402242,0.040066973,373.5452817
100000,prompt_6,p9_count_frequency,0.6150376,15.4539609,600,0.756507061,1942.804581
1000,prompt_7,p9_count_frequency,0.0023129,0.0903647,5.5789272,0.00360194,2408.778683
10000,prompt_7,p9_count_frequency,0.0273866,0.132330791,5.7009468,0.040066973,230.2739922
100000,prompt_7,p9_count_frequency,0.5915486,7.26586402,600,0.756507061,860.4489363
1000,prompt_1,p10_maximum_product_subarray,0.0350345,0.067248342,0.1600087,0.062350064,7.85609182
10000,prompt_1,p10_maximum_product_subarray,2.4485051,3.860439306,8.8036958,3.544827018,8.903460927
1000,prompt_2,p10_maximum_product_subarray,0.0366904,0.064532155,0.1428688,0.062350064,3.499742582
10000,prompt_2,p10_maximum_product_subarray,2.4470592,3.773849797,9.5340926,3.544827018,6.460760374
1000,prompt_3,p10_maximum_product_subarray,0.0362893,0.071241333,0.2958359,0.062350064,14.260241
10000,prompt_3,p10_maximum_product_subarray,2.446316,3.741122819,5.4981177,3.544827018,5.537528349
1000,prompt_4,p10_maximum_product_subarray,0.0395355,0.064493037,0.1679224,0.062350064,3.437002047
10000,prompt_4,p10_maximum_product_subarray,2.4134631,3.722240699,5.4294604,3.544827018,5.004861463
1000,prompt_5,p10_maximum_product_subarray,0.0298685,0.06651842,0.3017166,0.062350064,6.685408779
10000,prompt_5,p10_maximum_product_subarray,2.3364035,3.544827018,5.3985189,3.544827018,0
1000,prompt_6,p10_maximum_product_subarray,0.0377961,0.063778059,0.2257671,0.062350064,2.290286513
10000,prompt_6,p10_maximum_product_subarray,2.4510806,3.780066481,6.2918409,3.544827018,6.636133786
1000,prompt_7,p10_maximum_product_subarray,0.0329404,0.062350064,0.2444516,0.062350064,0
10000,prompt_7,p10_maximum_product_subarray,2.4037219,3.595996647,5.1458313,3.544827018,1.443501437
1000,prompt_1,p11_find_middle_element_linkedlist,0.0008939,0.001161112,0.002569,0.00114614,1.306264089
10000,prompt_1,p11_find_middle_element_linkedlist,0.0101966,0.011947968,0.0261233,0.01173837,1.785581312
100000,prompt_1,p11_find_middle_element_linkedlist,0.1076536,0.132140982,0.3770415,0.127727444,3.455433992
1000,prompt_2,p11_find_middle_element_linkedlist,0.0009321,0.001171062,0.0043277,0.00114614,2.174432375
